date,Team_1,Team_2,Winner,Margin,Ground
13-Jul-22,West Indies,Bangladesh,Bangladesh,9 wickets,Providence
14-Jul-22,Scotland,Namibia,Scotland,3 wickets,Glasgow
14-Jul-22,England,India,England,100 runs,Lord's
15-Jul-22,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide)
16-Jul-22,Namibia,Nepal,Namibia,63 runs,Ayr
16-Jul-22,West Indies,Bangladesh,Bangladesh,4 wickets,Providence
17-Jul-22,Scotland,Nepal,Scotland,8 wickets,Glasgow
17-Jul-22,England,India,India,5 wickets,Manchester
19-Jul-22,England,South Africa,South Africa,62 runs,Chester-le-Street
22-Jul-22,England,South Africa,England,118 runs,Manchester
22-Jul-22,West Indies,India,India,3 runs,Port of Spain
24-Jul-22,England,South Africa,no result,,Leeds
24-Jul-22,West Indies,India,India,2 wickets,Port of Spain
27-Jul-22,West Indies,India,India,119 runs,Port of Spain
31-Jul-22,Scotland,New Zealand,New Zealand,7 wickets,Edinburgh
05-Aug-22,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare
07-Aug-22,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare
10-Aug-22,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare
10-Aug-22,Scotland,U.A.E.,Scotland,64 runs,Aberdeen
11-Aug-22,U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen
13-Aug-22,Scotland,U.S.A.,Scotland,5 wickets,Aberdeen
14-Aug-22,Scotland,U.A.E.,Scotland,86 runs,Aberdeen
16-Aug-22,Netherlands,Pakistan,Pakistan,16 runs,Rotterdam
17-Aug-22,Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen
17-Aug-22,West Indies,New Zealand,West Indies,5 wickets,Bridgetown
18-Aug-22,Zimbabwe,India,India,10 wickets,Harare
18-Aug-22,Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam
19-Aug-22,West Indies,New Zealand,New Zealand,50 runs,Bridgetown
20-Aug-22,Zimbabwe,India,India,5 wickets,Harare
21-Aug-22,Netherlands,Pakistan,Pakistan,9 runs,Rotterdam
21-Aug-22,West Indies,New Zealand,New Zealand,5 wickets,Bridgetown
22-Aug-22,Zimbabwe,India,India,13 runs,Harare
28-Aug-22,Australia,Zimbabwe,Australia,5 wickets,Townsville
31-Aug-22,Australia,Zimbabwe,Australia,8 wickets,Townsville
03-Sep-22,Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville
06-Sep-22,Australia,New Zealand,Australia,2 wickets,Cairns
08-Sep-22,Australia,New Zealand,Australia,113 runs,Cairns
11-Sep-22,P.N.G.,U.S.A.,tied,,Port Moresby
11-Sep-22,Australia,New Zealand,Australia,25 runs,Cairns
13-Sep-22,P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby
15-Sep-22,Namibia,U.S.A.,Namibia,79 runs,Port Moresby
17-Sep-22,Namibia,U.S.A.,Namibia,68 runs,Port Moresby
20-Sep-22,P.N.G.,Namibia,Namibia,167 runs,Port Moresby
21-Sep-22,P.N.G.,Namibia,Namibia,61 runs,Port Moresby
06-Oct-22,India,South Africa,South Africa,9 runs,Lucknow
09-Oct-22,India,South Africa,India,7 wickets,Ranchi
11-Oct-22,India,South Africa,India,7 wickets,Delhi
14-Nov-22,Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur
16-Nov-22,Nepal,U.A.E.,Nepal,3 wickets,Kirtipur
17-Nov-22,Australia,England,Australia,6 wickets,Adelaide
18-Nov-22,Nepal,U.A.E.,Nepal,6 wickets,Kirtipur
19-Nov-22,Australia,England,Australia,72 runs,Sydney
19-Nov-22,Namibia,P.N.G.,Namibia,8 wickets,Windhoek
20-Nov-22,Namibia,U.S.A.,U.S.A.,71 runs,Windhoek
22-Nov-22,Australia,England,Australia,221 runs,Melbourne
22-Nov-22,P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek
23-Nov-22,Namibia,P.N.G.,Namibia,3 wickets,Windhoek
25-Nov-22,New Zealand,India,New Zealand,7 wickets,Auckland
25-Nov-22,P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek
25-Nov-22,Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele
26-Nov-22,Namibia,U.S.A.,Namibia,6 wickets,Windhoek
27-Nov-22,New Zealand,India,no result,,Hamilton
27-Nov-22,Sri Lanka,Afghanistan,no result,,Pallekele
30-Nov-22,New Zealand,India,no result,,Christchurch
30-Nov-22,Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele
01-Dec-22,Namibia,Scotland,Scotland,4 wickets,Windhoek
02-Dec-22,Namibia,Nepal,no result,,Windhoek
04-Dec-22,Bangladesh,India,Bangladesh,1 wicket,Mirpur
04-Dec-22,Nepal,Scotland,Scotland,3 wickets,Windhoek
05-Dec-22,Namibia,Scotland,Namibia,3 wickets,Windhoek
07-Dec-22,Bangladesh,India,Bangladesh,5 runs,Mirpur
07-Dec-22,Namibia,Nepal,Namibia,86 runs,Windhoek
08-Dec-22,Nepal,Scotland,Scotland,8 wickets,Windhoek
10-Dec-22,Bangladesh,India,India,227 runs,Chattogram
09-Jan-23,Pakistan,New Zealand,Pakistan,6 wickets,Karachi
10-Jan-23,India,Sri Lanka,India,67 runs,Guwahati
11-Jan-23,Pakistan,New Zealand,New Zealand,79 runs,Karachi
12-Jan-23,India,Sri Lanka,India,4 wickets,Eden Gardens
13-Jan-23,Pakistan,New Zealand,New Zealand,2 wickets,Karachi
15-Jan-23,India,Sri Lanka,India,317 runs,Thiruvananthapuram
18-Jan-23,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare
18-Jan-23,India,New Zealand,India,12 runs,Hyderabad
21-Jan-23,Zimbabwe,Ireland,Ireland,46 runs,Harare
21-Jan-23,India,New Zealand,India,8 wickets,Raipur
23-Jan-23,Zimbabwe,Ireland,no result,,Harare
24-Jan-23,India,New Zealand,India,90 runs,Indore
27-Jan-23,South Africa,England,South Africa,27 runs,Bloemfontein
29-Jan-23,South Africa,England,South Africa,5 wickets,Bloemfontein
01-Feb-23,South Africa,England,England,59 runs,Kimberley
14-Feb-23,Nepal,Namibia,Nepal,2 wickets,Kirtipur
15-Feb-23,Namibia,Scotland,Scotland,10 wickets,Kirtipur
17-Feb-23,Nepal,Scotland,Nepal,3 wickets,Kirtipur
18-Feb-23,Nepal,Namibia,Nepal,3 wickets,Kirtipur
20-Feb-23,Namibia,Scotland,Scotland,43 runs,Kirtipur
21-Feb-23,Nepal,Scotland,Nepal,2 wickets,Kirtipur
23-Feb-23,U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC)
25-Feb-23,U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC)
27-Feb-23,Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC)
28-Feb-23,U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC)
01-Mar-23,Bangladesh,England,England,3 wickets,Mirpur
02-Mar-23,U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC)
03-Mar-23,Nepal,P.N.G.,Nepal,3 wickets,Dubai (DSC)
03-Mar-23,Bangladesh,England,England,132 runs,Mirpur
05-Mar-23,U.A.E.,P.N.G.,P.N.G.,5 wickets,Dubai (DSC)
06-Mar-23,U.A.E.,Nepal,Nepal,42 runs,Dubai (DSC)
06-Mar-23,Bangladesh,England,Bangladesh,50 runs,Chattogram
09-Mar-23,Nepal,P.N.G.,Nepal,52 runs,Kirtipur
10-Mar-23,P.N.G.,U.A.E.,P.N.G.,56 runs,Kirtipur
12-Mar-23,Nepal,U.A.E.,Nepal,177 runs,Kirtipur
13-Mar-23,Nepal,P.N.G.,Nepal,9 wickets,Kirtipur
15-Mar-23,P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur
16-Mar-23,Nepal,U.A.E.,Nepal,9 runs,Kirtipur
17-Mar-23,India,Australia,India,5 wickets,Wankhede
18-Mar-23,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet
18-Mar-23,South Africa,West Indies,West Indies,48 runs,East London
19-Mar-23,India,Australia,Australia,10 wickets,Visakhapatnam
20-Mar-23,Bangladesh,Ireland,no result,,Sylhet
21-Mar-23,Zimbabwe,Netherlands,Netherlands,3 wickets,Harare
21-Mar-23,South Africa,West Indies,South Africa,4 wickets,Potchefstroom
22-Mar-23,India,Australia,Australia,21 runs,Chennai
23-Mar-23,Zimbabwe,Netherlands,Zimbabwe,1 run,Harare
23-Mar-23,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet
25-Mar-23,New Zealand,Sri Lanka,New Zealand,198 runs,Auckland
25-Mar-23,Zimbabwe,Netherlands,Zimbabwe,7 wickets,Harare
26-Mar-23,Namibia,U.S.A.,U.S.A.,80 runs,Windhoek
27-Mar-23,P.N.G.,U.A.E.,U.A.E.,21 runs,Windhoek
27-Mar-23,Canada,Jersey,Canada,31 runs,Windhoek
29-Mar-23,Canada,U.S.A.,Canada,26 runs,Windhoek
29-Mar-23,Namibia,P.N.G.,Namibia,48 runs,Windhoek
30-Mar-23,Namibia,Jersey,Namibia,8 wickets,Windhoek
30-Mar-23,U.A.E.,U.S.A.,U.S.A.,5 wickets,Windhoek
31-Mar-23,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton
31-Mar-23,South Africa,Netherlands,South Africa,8 wickets,Benoni
01-Apr-23,Canada,U.A.E.,U.A.E.,6 wickets,Windhoek
01-Apr-23,Jersey,P.N.G.,Jersey,11 runs,Windhoek
02-Apr-23,P.N.G.,U.S.A.,U.S.A.,117 runs,Windhoek
02-Apr-23,Namibia,U.A.E.,U.A.E.,28 runs,Windhoek
02-Apr-23,South Africa,Netherlands,South Africa,146 runs,Johannesburg
04-Apr-23,Namibia,Canada,Namibia,111 runs,Windhoek
04-Apr-23,Jersey,U.S.A.,U.S.A.,25 runs,Windhoek
05-Apr-23,Jersey,U.A.E.,U.A.E.,66 runs,Windhoek
05-Apr-23,Canada,P.N.G.,Canada,90 runs,Windhoek
21-Apr-23,Nepal,Oman,Nepal,84 runs,Kirtipur
27-Apr-23,Pakistan,New Zealand,Pakistan,5 wickets,Rawalpindi
29-Apr-23,Oman,U.A.E.,U.A.E.,2 runs,Mulpani
29-Apr-23,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi
01-May-23,Nepal,U.A.E.,Nepal,7 wickets,Kirtipur
03-May-23,Pakistan,New Zealand,Pakistan,26 runs,Karachi
05-May-23,Pakistan,New Zealand,Pakistan,102 runs,Karachi
07-May-23,Pakistan,New Zealand,New Zealand,47 runs,Karachi
09-May-23,Bangladesh,Ireland,no result,,Chelmsford
12-May-23,Bangladesh,Ireland,Bangladesh,3 wickets,Chelmsford
14-May-23,Bangladesh,Ireland,Bangladesh,5 runs,Chelmsford
02-Jun-23,Sri Lanka,Afghanistan,Afghanistan,6 wickets,Hambantota
04-Jun-23,Sri Lanka,Afghanistan,Sri Lanka,132 runs,Hambantota
04-Jun-23,U.A.E.,West Indies,West Indies,7 wickets,Sharjah
06-Jun-23,U.A.E.,West Indies,West Indies,78 runs,Sharjah
07-Jun-23,Sri Lanka,Afghanistan,Sri Lanka,9 wickets,Hambantota
09-Jun-23,U.A.E.,West Indies,West Indies,4 wickets,Sharjah
18-Jun-23,Zimbabwe,Nepal,Zimbabwe,8 wickets,Harare
18-Jun-23,U.S.A.,West Indies,West Indies,39 runs,Harare
19-Jun-23,Sri Lanka,U.A.E.,Sri Lanka,175 runs,Bulawayo
19-Jun-23,Ireland,Oman,Oman,5 wickets,Bulawayo
20-Jun-23,Zimbabwe,Netherlands,Zimbabwe,6 wickets,Harare
20-Jun-23,Nepal,U.S.A.,Nepal,6 wickets,Harare
21-Jun-23,Ireland,Scotland,Scotland,1 wicket,Bulawayo
21-Jun-23,Oman,U.A.E.,Oman,5 wickets,Bulawayo
22-Jun-23,Nepal,West Indies,West Indies,101 runs,Harare
22-Jun-23,Netherlands,U.S.A.,Netherlands,5 wickets,Harare
23-Jun-23,Oman,Sri Lanka,Sri Lanka,10 wickets,Bulawayo
23-Jun-23,Scotland,U.A.E.,Scotland,111 runs,Bulawayo
24-Jun-23,Zimbabwe,West Indies,Zimbabwe,35 runs,Harare
24-Jun-23,Nepal,Netherlands,Netherlands,7 wickets,Harare
25-Jun-23,Ireland,Sri Lanka,Sri Lanka,133 runs,Bulawayo
25-Jun-23,Oman,Scotland,Scotland,76 runs,Bulawayo
26-Jun-23,Zimbabwe,U.S.A.,Zimbabwe,304 runs,Harare
26-Jun-23,Netherlands,West Indies,tied,,Harare
27-Jun-23,Scotland,Sri Lanka,Sri Lanka,82 runs,Bulawayo
27-Jun-23,Ireland,U.A.E.,Ireland,138 runs,Bulawayo
29-Jun-23,Zimbabwe,Oman,Zimbabwe,14 runs,Bulawayo
30-Jun-23,Netherlands,Sri Lanka,Sri Lanka,21 runs,Bulawayo
30-Jun-23,Ireland,U.S.A.,Ireland,6 wickets,Harare
01-Jul-23,Scotland,West Indies,Scotland,7 wickets,Harare
02-Jul-23,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo
02-Jul-23,Nepal,U.A.E.,Nepal,3 wickets,Harare
03-Jul-23,Netherlands,Oman,Netherlands,74 runs,Harare
04-Jul-23,Zimbabwe,Scotland,Scotland,31 runs,Bulawayo
04-Jul-23,Ireland,Nepal,Ireland,2 wickets,Harare
05-Jul-23,Oman,West Indies,West Indies,7 wickets,Harare
05-Jul-23,Bangladesh,Afghanistan,Afghanistan,17 runs,Chattogram
06-Jul-23,Netherlands,Scotland,Netherlands,4 wickets,Bulawayo
06-Jul-23,U.A.E.,U.S.A.,U.A.E.,1 run,Harare
07-Jul-23,Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare
08-Jul-23,Bangladesh,Afghanistan,Afghanistan,142 runs,Chattogram
09-Jul-23,Netherlands,Sri Lanka,Sri Lanka,128 runs,Harare
11-Jul-23,Bangladesh,Afghanistan,Bangladesh,7 wickets,Chattogram
27-Jul-23,West Indies,India,India,5 wickets,Bridgetown
29-Jul-23,West Indies,India,West Indies,6 wickets,Bridgetown
01-Aug-23,West Indies,India,India,200 runs,Tarouba
22-Aug-23,Afghanistan,Pakistan,Pakistan,142 runs,Hambantota
24-Aug-23,Afghanistan,Pakistan,Pakistan,1 wicket,Hambantota
26-Aug-23,Afghanistan,Pakistan,Pakistan,59 runs,Colombo (RPS)
30-Aug-23,Pakistan,Nepal,Pakistan,238 runs,Multan
31-Aug-23,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Pallekele
02-Sep-23,India,Pakistan,no result,,Pallekele
03-Sep-23,Afghanistan,Bangladesh,Bangladesh,89 runs,Lahore
04-Sep-23,India,Nepal,India,10 wickets,Pallekele
05-Sep-23,Afghanistan,Sri Lanka,Sri Lanka,2 runs,Lahore
06-Sep-23,Pakistan,Bangladesh,Pakistan,7 wickets,Lahore
07-Sep-23,South Africa,Australia,Australia,3 wickets,Bloemfontein
08-Sep-23,England,New Zealand,New Zealand,8 wickets,Cardiff
09-Sep-23,Sri Lanka,Bangladesh,Sri Lanka,21 runs,Colombo (RPS)
09-Sep-23,South Africa,Australia,Australia,123 runs,Bloemfontein
10-Sep-23,India,Pakistan,India,228 runs,Colombo (RPS)
10-Sep-23,England,New Zealand,England,79 runs,Southampton
12-Sep-23,Sri Lanka,India,India,41 runs,Colombo (RPS)
12-Sep-23,South Africa,Australia,South Africa,111 runs,Potchefstroom
13-Sep-23,England,New Zealand,England,181 runs,The Oval
14-Sep-23,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS)
15-Sep-23,Bangladesh,India,Bangladesh,6 runs,Colombo (RPS)
15-Sep-23,South Africa,Australia,South Africa,164 runs,Centurion
15-Sep-23,England,New Zealand,England,100 runs,Lord's
17-Sep-23,South Africa,Australia,South Africa,122 runs,Johannesburg
17-Sep-23,Sri Lanka,India,India,10 wickets,Colombo (RPS)
21-Sep-23,Bangladesh,New Zealand,no result,,Mirpur
22-Sep-23,India,Australia,India,5 wickets,Mohali
23-Sep-23,Bangladesh,New Zealand,New Zealand,86 runs,Mirpur
23-Sep-23,England,Ireland,England,48 runs,Nottingham
24-Sep-23,India,Australia,India,99 runs,Indore
26-Sep-23,Bangladesh,New Zealand,New Zealand,7 wickets,Mirpur
26-Sep-23,England,Ireland,no result,,Bristol
27-Sep-23,India,Australia,Australia,66 runs,Rajkot
